code,title,description,text
1111.0100,1111.0100,State Legislatures; committees and VOLUME II A 2,1111.0100 State Legislatures; committees and VOLUME II A 2
1111.0300,1111.0300 classified.,"Elected Official, Local Bodies ISCO 08 Unit Group Details: Elected Official, Local Bodies serves in Code 1111 various capacities in policy making and Title Legislators executive branches of local bodies. Performs administrative, executive or Family 1112 advisory functions in matters entrusted to Senior Government Officials local bodies e.g. public health, sanitation, primary education, building and road Senior government officials advise construction, drainage, street-lighting, governments on policy matters, oversee raising and collection of admissible local the interpretation and implementation of taxes and their proper administration, and government policies and legislation by all other connected matters for the government departments and agencies, benefit of local people, including represent their country abroad and act on enforcement of local laws and emergency its behalf, or carry out similar tasks in measures as necessary. Is designated intergovernmental organizations. They according to work performed or post held plan, organize, direct, control and such as: MAYOR, MUNICIPAL evaluate the overall activities of municipal CORPORATION. COUNCILLOR, CITY or local, regional and national government MUNICIPAL CORPORATION. CHAIRMAN, departments, boards, agencies or CITY MUNICIPAL CORPORATION. commissions in accordance with CHAIRMAN, MUNICIPALITY. MEMBER legislation and policies established by MUNICIPALITY. CHAIRMAN, DISTRICT government and legislative bodies. BOARD. MEMBER, DISTRICT BOARD. CHAIRMAN, CANTONMENT BOARD. MEMBER, CANTONMENT BOARD. 1112.0100 CHAIRMAN, TOWN AREA COMMITTEE. Administrative Official, Union MEMBER, TOWN AREA COMMITTEE. Government CHAIRMAN, BLOCK SAMITI. SARPANCH, PANCHAYAT. MEMBER, PANCHAYAT. Administrative Official, Union Government serves in various capacities ISCO 08 Unit Group Details: under Union Government. Performs VOLUME II A 3","1111.0300 classified. Elected Official, Local Bodies ISCO 08 Unit Group Details: Elected Official, Local Bodies serves in Code 1111 various capacities in policy making and Title Legislators executive branches of local bodies. Performs administrative, executive or Family 1112 advisory functions in matters entrusted to Senior Government Officials local bodies e.g. public health, sanitation, primary education, building and road Senior government officials advise construction, drainage, street-lighting, governments on policy matters, oversee raising and collection of admissible local the interpretation and implementation of taxes and their proper administration, and government policies and legislation by all other connected matters for the government departments and agencies, benefit of local people, including represent their country abroad and act on enforcement of local laws and emergency its behalf, or carry out similar tasks in measures as necessary. Is designated intergovernmental organizations. They according to work performed or post held plan, organize, direct, control and such as: MAYOR, MUNICIPAL evaluate the overall activities of municipal CORPORATION. COUNCILLOR, CITY or local, regional and national government MUNICIPAL CORPORATION. CHAIRMAN, departments, boards, agencies or CITY MUNICIPAL CORPORATION. commissions in accordance with CHAIRMAN, MUNICIPALITY. MEMBER legislation and policies established by MUNICIPALITY. CHAIRMAN, DISTRICT government and legislative bodies. BOARD. MEMBER, DISTRICT BOARD. CHAIRMAN, CANTONMENT BOARD. MEMBER, CANTONMENT BOARD. 1112.0100 CHAIRMAN, TOWN AREA COMMITTEE. Administrative Official, Union MEMBER, TOWN AREA COMMITTEE. Government CHAIRMAN, BLOCK SAMITI. SARPANCH, PANCHAYAT. MEMBER, PANCHAYAT. Administrative Official, Union Government serves in various capacities ISCO 08 Unit Group Details: under Union Government. Performs VOLUME II A 3"
1112.0200,1112.0200,"or post held, such as: COMMISSIONER, Diplomat DEVELOPMENT COMMISSIONER, INCOME-TAX CUSTODIAN, EVACUEE VOLUME II A 4","1112.0200 or post held, such as: COMMISSIONER, Diplomat DEVELOPMENT COMMISSIONER, INCOME-TAX CUSTODIAN, EVACUEE VOLUME II A 4"
1112.0400,1112.0400,"reconciling parties in trade disputes; Administrative Official, State inspecting schools, factories, shops, Government offices and establishments; and enforcing various rules, regulations and provisions Administrative Official, State Government of law. Is designated according to work serves in various capacities in State performed or post held, such as: Government. Performs administrative and COLLECTOR; DEPUTY COLLECTOR; SUB- advisory functions which include serving DEPUTY COLLECTOR; DEPUTY as Head of State; advising ministers, on all COMMISSIONER. DISTRICT OFFICER; SUB- matters of policy and administration DIVISIONAL OFFICER; LAND RECORD within his sphere of responsibility; OFFICER; TEHSILDAR; SUPERINTENDENT organizing and directing work of OF POLICE CIRCLE OFFICE; SALES-TAX departments; taking policy decisions to OFFICER; SUPERINTENDENT, JAIL; JAILOR, the extent authorised; supervising SUPERINTENDENT OF INDUSTRIES execution and implementation of policies DISTRICT INDUSTRIES OFFICER and decisions by field or subordinate MARKETING OFFICER. RATIONING officers. Is designated according to work OFFICER. SUPPLY OFFICER. RENT performed or post held, such as: CONTROL AND EVICTION OFFICER, GOVERNOR; RAJYAPAL; LIEUTENANT REGIONAL TRANSPORT OFFICER, DISTRICT GOVERNOR MEMBER, STATE PUBLIC PLANNING OFFICER, CO-OPERATIVE SERVICE COMMISSION, MEMBER, BOARD OFFICER, CONCILIATION OFFICER (STATE), OF REVENUE, CHIEF SECRETARY TO PANCHAYAT RAJ OFFICER. GOVERNMENT (STATE), SECRETARY TO GOVERNMENT (STATE), DEPUTY ISCO 08 Unit Group Details: SECRETARY TO GOVERNMENT (STATE), Code 1112 UNDER SECRETARY TO GOVERNMENT Title Senior Government (STATE), CHIEF COMMISSIONER Officials DEVELOPMENT, COMMISSIONER OF DIVISION, DIRECTOR OF EDUCATION, DIRECTOR OF INDUSTRIES. VOLUME II A 5","1112.0400 reconciling parties in trade disputes; Administrative Official, State inspecting schools, factories, shops, Government offices and establishments; and enforcing various rules, regulations and provisions Administrative Official, State Government of law. Is designated according to work serves in various capacities in State performed or post held, such as: Government. Performs administrative and COLLECTOR; DEPUTY COLLECTOR; SUB- advisory functions which include serving DEPUTY COLLECTOR; DEPUTY as Head of State; advising ministers, on all COMMISSIONER. DISTRICT OFFICER; SUB- matters of policy and administration DIVISIONAL OFFICER; LAND RECORD within his sphere of responsibility; OFFICER; TEHSILDAR; SUPERINTENDENT organizing and directing work of OF POLICE CIRCLE OFFICE; SALES-TAX departments; taking policy decisions to OFFICER; SUPERINTENDENT, JAIL; JAILOR, the extent authorised; supervising SUPERINTENDENT OF INDUSTRIES execution and implementation of policies DISTRICT INDUSTRIES OFFICER and decisions by field or subordinate MARKETING OFFICER. RATIONING officers. Is designated according to work OFFICER. SUPPLY OFFICER. RENT performed or post held, such as: CONTROL AND EVICTION OFFICER, GOVERNOR; RAJYAPAL; LIEUTENANT REGIONAL TRANSPORT OFFICER, DISTRICT GOVERNOR MEMBER, STATE PUBLIC PLANNING OFFICER, CO-OPERATIVE SERVICE COMMISSION, MEMBER, BOARD OFFICER, CONCILIATION OFFICER (STATE), OF REVENUE, CHIEF SECRETARY TO PANCHAYAT RAJ OFFICER. GOVERNMENT (STATE), SECRETARY TO GOVERNMENT (STATE), DEPUTY ISCO 08 Unit Group Details: SECRETARY TO GOVERNMENT (STATE), Code 1112 UNDER SECRETARY TO GOVERNMENT Title Senior Government (STATE), CHIEF COMMISSIONER Officials DEVELOPMENT, COMMISSIONER OF DIVISION, DIRECTOR OF EDUCATION, DIRECTOR OF INDUSTRIES. VOLUME II A 5"
1112.0600,1112.0600 HARYANA URBAN DEVELOPMENT,"Administrative and Executive AUTHORITY, SECRETARY, GHAZIABAD DEVELOPMENT AUTHORITY. Officials, Quasi Government (Central) ISCO 08 Unit Group Details: Code 1112 Administrative and Executive Official, Title Senior Government Quasi Government (Central) plans, Officials organizes, co-ordinates and controls within authority delegated, activities of","1112.0600 HARYANA URBAN DEVELOPMENT Administrative and Executive AUTHORITY, SECRETARY, GHAZIABAD DEVELOPMENT AUTHORITY. Officials, Quasi Government (Central) ISCO 08 Unit Group Details: Code 1112 Administrative and Executive Official, Title Senior Government Quasi Government (Central) plans, Officials organizes, co-ordinates and controls within authority delegated, activities of"
1112.0800,1112.0800,"quasi-government organizations, establishment, etc. or one or more of its Administrative and Executive departments/branches or sections; and Officials, Local Bodies includes officials such as: CHAIRMAN, UNIVERSITY GRANTS COMMISSION Administrative and Executive Official, CHAIRMAN, COAL MINES WELFARE Local Bodies plans, organizes, co-ordinates COMMISSION, SECRETARY, INDIAN RED and controls functions of the city CROSS SOCIETY, SECRETARY, MICA MINES corporation, improvement trust, LABOUR WELFARE FUND ADVISORY municipality, district board, cantonment COMMITTEE, SECRETARY, RAILWAY RATES board, notified area committee or other TRIBUNAL, CONTROLLER OF EMIGRANT local bodies, and executes and LABOUR, DIRECTOR-GENERAL, implements or supervises execution and EMPLOYEES STATE INSURANCE implementation of decisions, rules and CORPORATION. regulations and by-laws of local bodies and also assesses and collects local taxes. ISCO 08 Unit Group Details: Is designated according to work Code 1112 performed or post held, such as: Title Senior Government COMMISSIONER, CITY CORPORATION, Officials EXECUTIVE OFFICER, IMPROVEMENT TRUST; EXECUTIVE OFFICER,","1112.0800 quasi-government organizations, establishment, etc. or one or more of its Administrative and Executive departments/branches or sections; and Officials, Local Bodies includes officials such as: CHAIRMAN, UNIVERSITY GRANTS COMMISSION Administrative and Executive Official, CHAIRMAN, COAL MINES WELFARE Local Bodies plans, organizes, co-ordinates COMMISSION, SECRETARY, INDIAN RED and controls functions of the city CROSS SOCIETY, SECRETARY, MICA MINES corporation, improvement trust, LABOUR WELFARE FUND ADVISORY municipality, district board, cantonment COMMITTEE, SECRETARY, RAILWAY RATES board, notified area committee or other TRIBUNAL, CONTROLLER OF EMIGRANT local bodies, and executes and LABOUR, DIRECTOR-GENERAL, implements or supervises execution and EMPLOYEES STATE INSURANCE implementation of decisions, rules and CORPORATION. regulations and by-laws of local bodies and also assesses and collects local taxes. ISCO 08 Unit Group Details: Is designated according to work Code 1112 performed or post held, such as: Title Senior Government COMMISSIONER, CITY CORPORATION, Officials EXECUTIVE OFFICER, IMPROVEMENT TRUST; EXECUTIVE OFFICER,"
1112.0700,"1112.0700 CANTONMENT, BOARD; EXECUTIVE","Administrative & Executive OFFICER; MUNICIPAL BOARD, SECRETARY, DISTRICT BOARD TAX SUPERINTENDENT, Officials, Quasi Government (State) OCTROI SUPERINTENDENT Administrative and Executive Official, ISCO 08 Unit Group Details: Quasi Government (State) plans, Code 1112 organizes, co-ordinates and controls Title Senior Government within authority delegated, activities of Officials quasi-government organizations, establishments, etc. or one or more of its","1112.0700 CANTONMENT, BOARD; EXECUTIVE Administrative & Executive OFFICER; MUNICIPAL BOARD, SECRETARY, DISTRICT BOARD TAX SUPERINTENDENT, Officials, Quasi Government (State) OCTROI SUPERINTENDENT Administrative and Executive Official, ISCO 08 Unit Group Details: Quasi Government (State) plans, Code 1112 organizes, co-ordinates and controls Title Senior Government within authority delegated, activities of Officials quasi-government organizations, establishments, etc. or one or more of its"
1112.9900,1112.9900,"departments/branches or sections; and includes officials such as: VICE Senior Government Officials, Other CHANCELLOR, STATE UNIVERSITIES, DEAN, STATE AUTONOMOUS EDUCATIONAL Administrative and Executive Officials, INSTITUTES, CHAIRMAN, STATE Government and Local Bodies, Other CORPORATIONS/BOARDS, CHAIRMAN, Include all other administrative and VOLUME II A 6","1112.9900 departments/branches or sections; and includes officials such as: VICE Senior Government Officials, Other CHANCELLOR, STATE UNIVERSITIES, DEAN, STATE AUTONOMOUS EDUCATIONAL Administrative and Executive Officials, INSTITUTES, CHAIRMAN, STATE Government and Local Bodies, Other CORPORATIONS/BOARDS, CHAIRMAN, Include all other administrative and VOLUME II A 6"
1114.0200,1114.0200,"Senior Officials of Employers, Traditional Chiefs and Heads of Villages Workers and Other Economic perform a variety of legislative, Interest Organizations administrative and ceremonial tasks and duties, determined by ancient traditions, Senior Officials of Employers’, workers’ as well as by the division of rights and and other economic-interest organizations responsibilities between village chiefs and determine and formulate policies, rules the local, regional and national and regulations of their respective authorities. organizations, direct their application, represents these organizations and act on Family 1114 their behalf. Senior Officials of Special-interest Organizations ISCO 08 Unit Group Details: Code 1114 Senior Officials of Special-interest Title Senior Officials of Special-interest Organizations determine, formulate and Organizations direct the implementation of policies of special-interest organizations, such as 1114.0300 political-party organizations, trade unions, Director, Disaster Management employers' organizations, trade and Services industry associations, humanitarian or charity organizations, or sports Director, Disaster Management Services associations, and represent their directs and co-ordinates regional organizations and act on their behalf. programme activities of various agency to","1114.0200 Senior Officials of Employers, Traditional Chiefs and Heads of Villages Workers and Other Economic perform a variety of legislative, Interest Organizations administrative and ceremonial tasks and duties, determined by ancient traditions, Senior Officials of Employers’, workers’ as well as by the division of rights and and other economic-interest organizations responsibilities between village chiefs and determine and formulate policies, rules the local, regional and national and regulations of their respective authorities. organizations, direct their application, represents these organizations and act on Family 1114 their behalf. Senior Officials of Special-interest Organizations ISCO 08 Unit Group Details: Code 1114 Senior Officials of Special-interest Title Senior Officials of Special-interest Organizations determine, formulate and Organizations direct the implementation of policies of special-interest organizations, such as 1114.0300 political-party organizations, trade unions, Director, Disaster Management employers' organizations, trade and Services industry associations, humanitarian or charity organizations, or sports Director, Disaster Management Services associations, and represent their directs and co-ordinates regional organizations and act on their behalf. programme activities of various agency to"
1114.0100,1114.0100,"provide specialized human services, such Political Worker as water safety programmes, disaster relief, and emergency transportation: Consults with co-operating agencies, such VOLUME II A 7","1114.0100 provide specialized human services, such Political Worker as water safety programmes, disaster relief, and emergency transportation: Consults with co-operating agencies, such VOLUME II A 7"
