code,title_desc,description_desc,text_desc,title_map,description_map,text_map,text
6111.0101,6111.0101 bushes to prevent destruction of crops by,"Paddy Farmer animals and trespassing. Sprays insecticides and evolves measures to protect crop from plant diseases, insects Paddy Farmer cultivates paddy as per the and pests. Nurses growing crops by package of practices recommended for a careful watch and harvests matured crops particular agronomic climate zone, type of using sickle or other harvesting soil, rainfall pattern and climatic implements or machines. Collects and conditions to achieve the yields as per the preserves seeds. Collects harvested crop genetic potential of a given variety and into bundles and removes to threshing sell the produce in the market. floors. Dries harvested crop in sun. Threshes crop and winnows to separate Qualification Pack Details: grain from chaff. Bags and transports yield QP NOS Reference AGR/Q0101 by carts for storage and sale in market. QP NOS Name Paddy Farmer Hires labourers if required and supervises NSQF Level 4 their work. Prepares manure by collecting and storing cow dung into ditch. Keeps ISCO 08 Unit Group Details: equipment, building, fences etc. in good Code 6111 order. May operate tractor, winnowing, Title Field Crop and Vegetable Growers threshing and other machines, May breed animals.","6111.0101 bushes to prevent destruction of crops by Paddy Farmer animals and trespassing. Sprays insecticides and evolves measures to protect crop from plant diseases, insects Paddy Farmer cultivates paddy as per the and pests. Nurses growing crops by package of practices recommended for a careful watch and harvests matured crops particular agronomic climate zone, type of using sickle or other harvesting soil, rainfall pattern and climatic implements or machines. Collects and conditions to achieve the yields as per the preserves seeds. Collects harvested crop genetic potential of a given variety and into bundles and removes to threshing sell the produce in the market. floors. Dries harvested crop in sun. Threshes crop and winnows to separate Qualification Pack Details: grain from chaff. Bags and transports yield QP NOS Reference AGR/Q0101 by carts for storage and sale in market. QP NOS Name Paddy Farmer Hires labourers if required and supervises NSQF Level 4 their work. Prepares manure by collecting and storing cow dung into ditch. Keeps ISCO 08 Unit Group Details: equipment, building, fences etc. in good Code 6111 order. May operate tractor, winnowing, Title Field Crop and Vegetable Growers threshing and other machines, May breed animals.",,,,"6111.0101 bushes to prevent destruction of crops by Paddy Farmer animals and trespassing. Sprays insecticides and evolves measures to protect crop from plant diseases, insects Paddy Farmer cultivates paddy as per the and pests. Nurses growing crops by package of practices recommended for a careful watch and harvests matured crops particular agronomic climate zone, type of using sickle or other harvesting soil, rainfall pattern and climatic implements or machines. Collects and conditions to achieve the yields as per the preserves seeds. Collects harvested crop genetic potential of a given variety and into bundles and removes to threshing sell the produce in the market. floors. Dries harvested crop in sun. Threshes crop and winnows to separate Qualification Pack Details: grain from chaff. Bags and transports yield QP NOS Reference AGR/Q0101 by carts for storage and sale in market. QP NOS Name Paddy Farmer Hires labourers if required and supervises NSQF Level 4 their work. Prepares manure by collecting and storing cow dung into ditch. Keeps ISCO 08 Unit Group Details: equipment, building, fences etc. in good Code 6111 order. May operate tractor, winnowing, Title Field Crop and Vegetable Growers threshing and other machines, May breed animals."
6111.02,6111.0200,"Cultivator, Crop ISCO 08 Unit Group Details: Code 6111 Cultivator, Crop; Farmer, Crop grows field Title Field Crop and Vegetable Growers crops of wheat, paddy, cotton, sugar cane etc., according to type of land and 6111.0201 irrigation facilities available. Determines Wheat Cultivator type of crop to be grown according to nature of soil, climatic conditions, Wheat Cultivator cultivates wheat as per irrigation and marketing facilities in that the package of practices recommended area. Selects and purchases seeds, for a particular agro climate zone, type of fertilises and other items of farm soil, rainfall pattern and climatic condition equipment including machinery. Clears to achieve the yield as per the genetic land of grass, stones etc. using spades and potential of given variety and sell the other tools. Divides farm into easy produce as per the competitive market portions (fields) and raises boundary prices without distress sale. round them for retention of water. Ploughs land or breaks it by means of Qualification Pack Details: tractor or other implements to soften QP NOS Reference AGR/Q0102 earth and increase fertility. Connects land QP NOS Name Wheat Cultivator with source of water by digging channels NSQF Level 4 for irrigation as required. Sows by broadcasting seeds in field and levelling ISCO 08 Unit Group Details: up with wooden plough. Conducts weeding and hoeing to conserve moisture. Code 6111 Fences farm using barbed wire or thorny Title Field Crop and Vegetable Growers VOLUME II B 3","6111.0200 Cultivator, Crop ISCO 08 Unit Group Details: Code 6111 Cultivator, Crop; Farmer, Crop grows field Title Field Crop and Vegetable Growers crops of wheat, paddy, cotton, sugar cane etc., according to type of land and 6111.0201 irrigation facilities available. Determines Wheat Cultivator type of crop to be grown according to nature of soil, climatic conditions, Wheat Cultivator cultivates wheat as per irrigation and marketing facilities in that the package of practices recommended area. Selects and purchases seeds, for a particular agro climate zone, type of fertilises and other items of farm soil, rainfall pattern and climatic condition equipment including machinery. Clears to achieve the yield as per the genetic land of grass, stones etc. using spades and potential of given variety and sell the other tools. Divides farm into easy produce as per the competitive market portions (fields) and raises boundary prices without distress sale. round them for retention of water. Ploughs land or breaks it by means of Qualification Pack Details: tractor or other implements to soften QP NOS Reference AGR/Q0102 earth and increase fertility. Connects land QP NOS Name Wheat Cultivator with source of water by digging channels NSQF Level 4 for irrigation as required. Sows by broadcasting seeds in field and levelling ISCO 08 Unit Group Details: up with wooden plough. Conducts weeding and hoeing to conserve moisture. Code 6111 Fences farm using barbed wire or thorny Title Field Crop and Vegetable Growers VOLUME II B 3",,,,"6111.0200 Cultivator, Crop ISCO 08 Unit Group Details: Code 6111 Cultivator, Crop; Farmer, Crop grows field Title Field Crop and Vegetable Growers crops of wheat, paddy, cotton, sugar cane etc., according to type of land and 6111.0201 irrigation facilities available. Determines Wheat Cultivator type of crop to be grown according to nature of soil, climatic conditions, Wheat Cultivator cultivates wheat as per irrigation and marketing facilities in that the package of practices recommended area. Selects and purchases seeds, for a particular agro climate zone, type of fertilises and other items of farm soil, rainfall pattern and climatic condition equipment including machinery. Clears to achieve the yield as per the genetic land of grass, stones etc. using spades and potential of given variety and sell the other tools. Divides farm into easy produce as per the competitive market portions (fields) and raises boundary prices without distress sale. round them for retention of water. Ploughs land or breaks it by means of Qualification Pack Details: tractor or other implements to soften QP NOS Reference AGR/Q0102 earth and increase fertility. Connects land QP NOS Name Wheat Cultivator with source of water by digging channels NSQF Level 4 for irrigation as required. Sows by broadcasting seeds in field and levelling ISCO 08 Unit Group Details: up with wooden plough. Conducts weeding and hoeing to conserve moisture. Code 6111 Fences farm using barbed wire or thorny Title Field Crop and Vegetable Growers VOLUME II B 3"
6111.0301,6111.0301 6111.0501,"Maize Cultivator Soya bean Cultivator Maize Cultivator undertakes the Soya bean Cultivator undertakes the cultivation of maize crop at the farm level. cultivation of oilseeds at the farm level. The individual is also responsible for The individual is also responsible for harvesting the maize crop. The maize harvesting the soya bean. The Soya bean cultivator needs to adapt recommended Cultivator needs to adapt recommended practices for a particular agro climate practices for a particular agronomic zone, type of soil, rainfall pattern and climate zone, type of soil, rainfall pattern climatic conditions to achieve the best and climatic conditions to achieve the possible yield best possible yield Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0103 QP NOS Reference AGR/Q0201 QP NOS Name Maize Cultivator QP NOS Name Soya bean NSQF Level 4 Cultivator NSQF Level 4 ISCO 08 Unit Group Details: Code 6111 ISCO 08 Unit Group Details: Title Field Crop and Vegetable Growers Code 6111 Title Field Crop and Vegetable Growers","6111.0301 6111.0501 Maize Cultivator Soya bean Cultivator Maize Cultivator undertakes the Soya bean Cultivator undertakes the cultivation of maize crop at the farm level. cultivation of oilseeds at the farm level. The individual is also responsible for The individual is also responsible for harvesting the maize crop. The maize harvesting the soya bean. The Soya bean cultivator needs to adapt recommended Cultivator needs to adapt recommended practices for a particular agro climate practices for a particular agronomic zone, type of soil, rainfall pattern and climate zone, type of soil, rainfall pattern climatic conditions to achieve the best and climatic conditions to achieve the possible yield best possible yield Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0103 QP NOS Reference AGR/Q0201 QP NOS Name Maize Cultivator QP NOS Name Soya bean NSQF Level 4 Cultivator NSQF Level 4 ISCO 08 Unit Group Details: Code 6111 ISCO 08 Unit Group Details: Title Field Crop and Vegetable Growers Code 6111 Title Field Crop and Vegetable Growers",,,,"6111.0301 6111.0501 Maize Cultivator Soya bean Cultivator Maize Cultivator undertakes the Soya bean Cultivator undertakes the cultivation of maize crop at the farm level. cultivation of oilseeds at the farm level. The individual is also responsible for The individual is also responsible for harvesting the maize crop. The maize harvesting the soya bean. The Soya bean cultivator needs to adapt recommended Cultivator needs to adapt recommended practices for a particular agro climate practices for a particular agronomic zone, type of soil, rainfall pattern and climate zone, type of soil, rainfall pattern climatic conditions to achieve the best and climatic conditions to achieve the possible yield best possible yield Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0103 QP NOS Reference AGR/Q0201 QP NOS Name Maize Cultivator QP NOS Name Soya bean NSQF Level 4 Cultivator NSQF Level 4 ISCO 08 Unit Group Details: Code 6111 ISCO 08 Unit Group Details: Title Field Crop and Vegetable Growers Code 6111 Title Field Crop and Vegetable Growers"
6111.0401,6111.0401,"Pulses Cultivator 6111.0601 Cotton Cultivator Pulses Cultivator undertakes the cultivation of pulses at the farm level. The Cotton Cultivator undertakes the individual is also responsible for cultivation of cotton crop at the farm harvesting the pulses. The pulses level. The individual is also responsible for cultivator needs to adapt recommended harvesting the cotton crop. The Cotton practices for a particular agro climate Cultivator needs to adapt recommended zone, type of soil, rainfall pattern and practices for a particular agro climate climatic conditions to achieve the best zone, type of soil, rainfall pattern and possible yield climatic conditions to achieve the best possible yield. Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0104 QP NOS Reference AGR/Q0202 QP NOS Name Pulses Cultivator QP NOS Name Cotton Cultivator NSQF Level 4 NSQF Level 4 ISCO 08 Unit Group Details: ISCO 08 Unit Group Details: Code 6111 Code 6111 Title Field Crop and Vegetable Growers Title Field Crop and Vegetable Growers VOLUME II B 4","6111.0401 Pulses Cultivator 6111.0601 Cotton Cultivator Pulses Cultivator undertakes the cultivation of pulses at the farm level. The Cotton Cultivator undertakes the individual is also responsible for cultivation of cotton crop at the farm harvesting the pulses. The pulses level. The individual is also responsible for cultivator needs to adapt recommended harvesting the cotton crop. The Cotton practices for a particular agro climate Cultivator needs to adapt recommended zone, type of soil, rainfall pattern and practices for a particular agro climate climatic conditions to achieve the best zone, type of soil, rainfall pattern and possible yield climatic conditions to achieve the best possible yield. Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0104 QP NOS Reference AGR/Q0202 QP NOS Name Pulses Cultivator QP NOS Name Cotton Cultivator NSQF Level 4 NSQF Level 4 ISCO 08 Unit Group Details: ISCO 08 Unit Group Details: Code 6111 Code 6111 Title Field Crop and Vegetable Growers Title Field Crop and Vegetable Growers VOLUME II B 4",,,,"6111.0401 Pulses Cultivator 6111.0601 Cotton Cultivator Pulses Cultivator undertakes the cultivation of pulses at the farm level. The Cotton Cultivator undertakes the individual is also responsible for cultivation of cotton crop at the farm harvesting the pulses. The pulses level. The individual is also responsible for cultivator needs to adapt recommended harvesting the cotton crop. The Cotton practices for a particular agro climate Cultivator needs to adapt recommended zone, type of soil, rainfall pattern and practices for a particular agro climate climatic conditions to achieve the best zone, type of soil, rainfall pattern and possible yield climatic conditions to achieve the best possible yield. Qualification Pack Details: Qualification Pack Details: QP NOS Reference AGR/Q0104 QP NOS Reference AGR/Q0202 QP NOS Name Pulses Cultivator QP NOS Name Cotton Cultivator NSQF Level 4 NSQF Level 4 ISCO 08 Unit Group Details: ISCO 08 Unit Group Details: Code 6111 Code 6111 Title Field Crop and Vegetable Growers Title Field Crop and Vegetable Growers VOLUME II B 4"
6111.0701,6111.0701 and evolves measures to protect fruits,"Sugarcane Cultivator from wild animals, etc. Checks maturity of fruits and plucks ripe fruits by hand at appropriate time. Develops different Sugarcane Cultivator undertakes the varieties of trees by grafting, budding, etc. cultivation of sugarcane crop at the farm Transports plants and fruits by carts or level. The individual is also responsible for automobile and sells them. Hires harvesting the sugarcane crop. The labourers when needed and supervises Sugarcane Cultivator needs to adapt their work. Keeps fences, building and recommended practices for a particular agricultural tools and implements in good agro climatic zone, type of soil, rainfall condition. May prepare seedbeds and pattern and climatic conditions to achieve raise seedlings for own use and for sale. the best possible yield. May specialize in cultivating any particular type of fruit. May arrange preservation of Qualification Pack Details: fruits in cold storage. May specialize in QP NOS Reference AGR/Q0203 grafting or budding. QP NOS Name Sugarcane Cultivator ISCO 08 Unit Group Details: NSQF Level 4 Code 6112 Title Tree and Shrub Crop Growers ISCO 08 Unit Group Details: Code 6111","6111.0701 and evolves measures to protect fruits Sugarcane Cultivator from wild animals, etc. Checks maturity of fruits and plucks ripe fruits by hand at appropriate time. Develops different Sugarcane Cultivator undertakes the varieties of trees by grafting, budding, etc. cultivation of sugarcane crop at the farm Transports plants and fruits by carts or level. The individual is also responsible for automobile and sells them. Hires harvesting the sugarcane crop. The labourers when needed and supervises Sugarcane Cultivator needs to adapt their work. Keeps fences, building and recommended practices for a particular agricultural tools and implements in good agro climatic zone, type of soil, rainfall condition. May prepare seedbeds and pattern and climatic conditions to achieve raise seedlings for own use and for sale. the best possible yield. May specialize in cultivating any particular type of fruit. May arrange preservation of Qualification Pack Details: fruits in cold storage. May specialize in QP NOS Reference AGR/Q0203 grafting or budding. QP NOS Name Sugarcane Cultivator ISCO 08 Unit Group Details: NSQF Level 4 Code 6112 Title Tree and Shrub Crop Growers ISCO 08 Unit Group Details: Code 6111",,,,"6111.0701 and evolves measures to protect fruits Sugarcane Cultivator from wild animals, etc. Checks maturity of fruits and plucks ripe fruits by hand at appropriate time. Develops different Sugarcane Cultivator undertakes the varieties of trees by grafting, budding, etc. cultivation of sugarcane crop at the farm Transports plants and fruits by carts or level. The individual is also responsible for automobile and sells them. Hires harvesting the sugarcane crop. The labourers when needed and supervises Sugarcane Cultivator needs to adapt their work. Keeps fences, building and recommended practices for a particular agricultural tools and implements in good agro climatic zone, type of soil, rainfall condition. May prepare seedbeds and pattern and climatic conditions to achieve raise seedlings for own use and for sale. the best possible yield. May specialize in cultivating any particular type of fruit. May arrange preservation of Qualification Pack Details: fruits in cold storage. May specialize in QP NOS Reference AGR/Q0203 grafting or budding. QP NOS Name Sugarcane Cultivator ISCO 08 Unit Group Details: NSQF Level 4 Code 6112 Title Tree and Shrub Crop Growers ISCO 08 Unit Group Details: Code 6111"
6111.0851,6111.0851,Title Field Crop and Vegetable Growers Coconut Grower,6111.0851 Title Field Crop and Vegetable Growers Coconut Grower,,,,6111.0851 Title Field Crop and Vegetable Growers Coconut Grower
6111.08,6111.0800,"Coconut Grower cultivates coconut as per Cultivator, Fruit the package of practices recommended for a particular agronomic climate zone, Cultivator, Fruit: Farmer, Fruit grows type of soil, rainfall pattern and climatic varieties of nuts and fruits depending on conditions to achieve the coconut yields type of soil, climate, irrigational and as per the genetic potential of a given transport facilities. Determines type of variety and sell the products as per the nuts or fruits to be grown based on nature competitive market prices without of soil, climatic conditions and irrigational distress sale. facilities. Selects and purchases seeds, seedlings, cutting, etc. fertilizer and Qualification Pack Details: agricultural equipment required for QP NOS Reference AGR/Q0503 cultivation. Prepares land for planting by QP NOS Name Coconut Grower ploughing, manuring, levelling, etc. Plants NSQF Level 4 seedlings and cuttings or sow seeds and irrigates fields. Arranges regular supply of ISCO 08 Unit Group Details: water by digging channels to source of water. Prepares manure for use in Code 6112 cultivation by storing farm yard refuse to Title Tree and Shrub Crop Growers get converted into usable manure. Weeds and hoes grass and prunes branches of 6111.0852 fruit plants by hand tools to facilitate Friends of Coconut Tree better growth and yield. Sprays insecticide VOLUME II B 5","6111.0800 Coconut Grower cultivates coconut as per Cultivator, Fruit the package of practices recommended for a particular agronomic climate zone, Cultivator, Fruit: Farmer, Fruit grows type of soil, rainfall pattern and climatic varieties of nuts and fruits depending on conditions to achieve the coconut yields type of soil, climate, irrigational and as per the genetic potential of a given transport facilities. Determines type of variety and sell the products as per the nuts or fruits to be grown based on nature competitive market prices without of soil, climatic conditions and irrigational distress sale. facilities. Selects and purchases seeds, seedlings, cutting, etc. fertilizer and Qualification Pack Details: agricultural equipment required for QP NOS Reference AGR/Q0503 cultivation. Prepares land for planting by QP NOS Name Coconut Grower ploughing, manuring, levelling, etc. Plants NSQF Level 4 seedlings and cuttings or sow seeds and irrigates fields. Arranges regular supply of ISCO 08 Unit Group Details: water by digging channels to source of water. Prepares manure for use in Code 6112 cultivation by storing farm yard refuse to Title Tree and Shrub Crop Growers get converted into usable manure. Weeds and hoes grass and prunes branches of 6111.0852 fruit plants by hand tools to facilitate Friends of Coconut Tree better growth and yield. Sprays insecticide VOLUME II B 5",,,,"6111.0800 Coconut Grower cultivates coconut as per Cultivator, Fruit the package of practices recommended for a particular agronomic climate zone, Cultivator, Fruit: Farmer, Fruit grows type of soil, rainfall pattern and climatic varieties of nuts and fruits depending on conditions to achieve the coconut yields type of soil, climate, irrigational and as per the genetic potential of a given transport facilities. Determines type of variety and sell the products as per the nuts or fruits to be grown based on nature competitive market prices without of soil, climatic conditions and irrigational distress sale. facilities. Selects and purchases seeds, seedlings, cutting, etc. fertilizer and Qualification Pack Details: agricultural equipment required for QP NOS Reference AGR/Q0503 cultivation. Prepares land for planting by QP NOS Name Coconut Grower ploughing, manuring, levelling, etc. Plants NSQF Level 4 seedlings and cuttings or sow seeds and irrigates fields. Arranges regular supply of ISCO 08 Unit Group Details: water by digging channels to source of water. Prepares manure for use in Code 6112 cultivation by storing farm yard refuse to Title Tree and Shrub Crop Growers get converted into usable manure. Weeds and hoes grass and prunes branches of 6111.0852 fruit plants by hand tools to facilitate Friends of Coconut Tree better growth and yield. Sprays insecticide VOLUME II B 5"
6111.1101,6111.1101,Citrus Fruit Grower ISCO 08 Unit Group Details: Code 6112 Citrus Fruit Grower cultivates citrus fruit Title Tree and Shrub Crop Growers as per the package of practices recommended for a particular agronomic,6111.1101 Citrus Fruit Grower ISCO 08 Unit Group Details: Code 6112 Citrus Fruit Grower cultivates citrus fruit Title Tree and Shrub Crop Growers as per the package of practices recommended for a particular agronomic,,,,6111.1101 Citrus Fruit Grower ISCO 08 Unit Group Details: Code 6112 Citrus Fruit Grower cultivates citrus fruit Title Tree and Shrub Crop Growers as per the package of practices recommended for a particular agronomic
6111.0901,6111.0901,"climate zone, type of soil, rainfall pattern Banana Farmer and climatic condition to achieve the yield as per the genetic potential of given Banana Farmer cultivates banana as per variety and sell the produce as per the the package of practices recommended competitive market prices without for a particular agronomic climate zone, distress sale. type of soil, rainfall pattern and climatic condition to achieve the yield as per the Qualification Pack Details: genetic potential of given variety and sell QP NOS Reference AGR/Q0403 the produce as per the competitive QP NOS Name Citrus Fruit Grower market prices without distress sale. NSQF Level 4 Qualification Pack Details: ISCO 08 Unit Group Details: QP NOS Reference AGR/Q0201 Code 6112 QP NOS Name Banana Farmer Title Tree and Shrub Crop Growers NSQF Level 4","6111.0901 climate zone, type of soil, rainfall pattern Banana Farmer and climatic condition to achieve the yield as per the genetic potential of given Banana Farmer cultivates banana as per variety and sell the produce as per the the package of practices recommended competitive market prices without for a particular agronomic climate zone, distress sale. type of soil, rainfall pattern and climatic condition to achieve the yield as per the Qualification Pack Details: genetic potential of given variety and sell QP NOS Reference AGR/Q0403 the produce as per the competitive QP NOS Name Citrus Fruit Grower market prices without distress sale. NSQF Level 4 Qualification Pack Details: ISCO 08 Unit Group Details: QP NOS Reference AGR/Q0201 Code 6112 QP NOS Name Banana Farmer Title Tree and Shrub Crop Growers NSQF Level 4",,,,"6111.0901 climate zone, type of soil, rainfall pattern Banana Farmer and climatic condition to achieve the yield as per the genetic potential of given Banana Farmer cultivates banana as per variety and sell the produce as per the the package of practices recommended competitive market prices without for a particular agronomic climate zone, distress sale. type of soil, rainfall pattern and climatic condition to achieve the yield as per the Qualification Pack Details: genetic potential of given variety and sell QP NOS Reference AGR/Q0403 the produce as per the competitive QP NOS Name Citrus Fruit Grower market prices without distress sale. NSQF Level 4 Qualification Pack Details: ISCO 08 Unit Group Details: QP NOS Reference AGR/Q0201 Code 6112 QP NOS Name Banana Farmer Title Tree and Shrub Crop Growers NSQF Level 4"
6111.12,6111.1200,ISCO 08 Unit Group Details: Viniculturist Code 6112 Title Tree and Shrub Crop Growers VOLUME II B 6,6111.1200 ISCO 08 Unit Group Details: Viniculturist Code 6112 Title Tree and Shrub Crop Growers VOLUME II B 6,,,,6111.1200 ISCO 08 Unit Group Details: Viniculturist Code 6112 Title Tree and Shrub Crop Growers VOLUME II B 6
